policy,final_active_width_mean,final_active_width_std,final_accepted_count_mean,final_accepted_count_std,final_iid_acc_mean,final_iid_acc_std,final_shift_acc_mean,final_shift_acc_std,final_correction_train_gain_mean,final_correction_train_gain_std,final_correction_eval_gain_mean,final_correction_eval_gain_std,final_correction_param_shift_l2_mean,final_correction_param_shift_l2_std,final_active_width_mean_pm_std,final_accepted_count_mean_pm_std,final_iid_acc_mean_pm_std,final_shift_acc_mean_pm_std,final_correction_train_gain_mean_pm_std,final_correction_eval_gain_mean_pm_std,final_correction_param_shift_l2_mean_pm_std
twogate,5.625,2.6397450574352765,0.34375,0.47871355387816905,0.9973487854003906,0.0009256998697916549,0.016574859619140625,0.008362342341482287,0.6795247395833334,0.16224969474083367,0.6690559387207031,0.15834830799903676,1.8410012241297615,0.17065290207645717,5.625 ± 2.640,0.344 ± 0.479,0.997 ± 0.001,0.017 ± 0.008,0.680 ± 0.162,0.669 ± 0.158,1.841 ± 0.171
dest_val_nocap,6.5625,7.753903266936974,0.359375,0.4836103475464191,0.9973182678222656,0.0009014931048472163,0.01662445068359375,0.008292196413202559,0.68359375,0.16620098633023467,0.6733512878417969,0.16306643495862466,1.8455540958499665,0.1677314058901201,6.562 ± 7.754,0.359 ± 0.484,0.997 ± 0.001,0.017 ± 0.008,0.684 ± 0.166,0.673 ± 0.163,1.846 ± 0.168
dest_val,58.0625,34.51977808974269,2.78125,1.2014376309040689,0.9975090026855469,0.000895900355754106,0.011260986328125,0.00539245321733411,0.9134114583333334,0.12698049388713953,0.9149742126464844,0.12541420175256762,1.91221370215178,0.11675354026805267,58.062 ± 34.520,2.781 ± 1.201,0.998 ± 0.001,0.011 ± 0.005,0.913 ± 0.127,0.915 ± 0.125,1.912 ± 0.117
dest_train,68.5,14.941154414505435,3.9375,0.4671765921511567,0.9973220825195312,0.0011334690557016033,0.01122283935546875,0.005384985942820261,0.9683430989583334,0.016582352444647824,0.9684638977050781,0.01440390636868172,1.8906920851559583,0.08504398625377471,68.500 ± 14.941,3.938 ± 0.467,0.997 ± 0.001,0.011 ± 0.005,0.968 ± 0.017,0.968 ± 0.014,1.891 ± 0.085
