seed,m,policy,proposal_step,candidate_width,accepted,cap_ok,val_ok,width_cap,epsV,tau,candidate_train_loss,candidate_train_acc,candidate_val_loss,candidate_val_acc,candidate_test_iid_loss,candidate_test_iid_acc,candidate_test_shift_loss,candidate_test_shift_acc,candidate_gen_gap,candidate_correction_train_pre_acc,candidate_correction_train_post_acc,candidate_correction_train_gain,candidate_correction_train_pre_loss,candidate_correction_train_post_loss,candidate_correction_eval_pre_acc,candidate_correction_eval_post_acc,candidate_correction_eval_gain,candidate_correction_eval_pre_loss,candidate_correction_eval_post_loss,candidate_correction_param_shift_l2,candidate_correction_pre_acc,candidate_correction_post_acc,candidate_correction_gain,candidate_correction_pre_loss,candidate_correction_post_loss,active_width,active_train_loss,active_train_acc,active_val_loss,active_val_acc,active_test_iid_loss,active_test_iid_acc,active_test_shift_loss,active_test_shift_acc,active_gen_gap,active_correction_train_pre_acc,active_correction_train_post_acc,active_correction_train_gain,active_correction_train_pre_loss,active_correction_train_post_loss,active_correction_eval_pre_acc,active_correction_eval_post_acc,active_correction_eval_gain,active_correction_eval_pre_loss,active_correction_eval_post_loss,active_correction_param_shift_l2,active_correction_pre_acc,active_correction_post_acc,active_correction_gain,active_correction_pre_loss,active_correction_post_loss
0,512,dest_train,0,4,True,True,True,24,0.03181729027208751,0.011136051595230628,0.005754130659624934,1.0,0.004951396180937688,1.0,0.012840777519159019,0.99658203125,6.352735102176666,0.011474609375,0.007086646859534085,0.005208333333333333,0.7708333333333334,0.765625,6.141642411549886,0.5194211353858312,0.009765625,0.770263671875,0.760498046875,6.206692606210709,0.5352454509120435,1.8670968547220332,0.009765625,0.770263671875,0.760498046875,6.206692606210709,0.5352454509120435,4,0.005754130659624934,1.0,0.004951396180937688,1.0,0.012840777519159019,0.99658203125,6.352735102176666,0.011474609375,0.007086646859534085,0.005208333333333333,0.7708333333333334,0.765625,6.141642411549886,0.5194211353858312,0.009765625,0.770263671875,0.760498046875,6.206692606210709,0.5352454509120435,1.8670968547220332,0.009765625,0.770263671875,0.760498046875,6.206692606210709,0.5352454509120435
0,512,dest_train,1,8,True,True,True,24,0.03181729027208751,0.011136051595230628,0.0022299119736999273,1.0,0.002421953404943148,1.0,0.010267112025758252,0.996826171875,7.5771428644657135,0.008056640625,0.008037200052058324,0.005208333333333333,0.7708333333333334,0.765625,7.350223143895467,0.5110359440247217,0.0078125,0.8056640625,0.7978515625,7.441372290253639,0.4822222182992846,1.9220876774731748,0.0078125,0.8056640625,0.7978515625,7.441372290253639,0.4822222182992846,8,0.0022299119736999273,1.0,0.002421953404943148,1.0,0.010267112025758252,0.996826171875,7.5771428644657135,0.008056640625,0.008037200052058324,0.005208333333333333,0.7708333333333334,0.765625,7.350223143895467,0.5110359440247217,0.0078125,0.8056640625,0.7978515625,7.441372290253639,0.4822222182992846,1.9220876774731748,0.0078125,0.8056640625,0.7978515625,7.441372290253639,0.4822222182992846
0,512,dest_train,2,16,True,True,True,24,0.03181729027208751,0.011136051595230628,0.0006435766990762204,1.0,0.00437635782873258,0.9973958333333334,0.011281620838417439,0.99658203125,9.432386219501495,0.008056640625,0.010638044139341218,0.0,0.9895833333333334,0.9895833333333334,9.624548753102621,0.16823556025822958,0.005126953125,0.9755859375,0.970458984375,9.335159242153168,0.18766812735702842,2.111371093997795,0.005126953125,0.9755859375,0.970458984375,9.335159242153168,0.18766812735702842,16,0.0006435766990762204,1.0,0.00437635782873258,0.9973958333333334,0.011281620838417439,0.99658203125,9.432386219501495,0.008056640625,0.010638044139341218,0.0,0.9895833333333334,0.9895833333333334,9.624548753102621,0.16823556025822958,0.005126953125,0.9755859375,0.970458984375,9.335159242153168,0.18766812735702842,2.111371093997795,0.005126953125,0.9755859375,0.970458984375,9.335159242153168,0.18766812735702842
0,512,dest_train,3,32,True,True,True,24,0.03181729027208751,0.011136051595230628,0.00029666807677131146,1.0,0.003701458015711978,0.9973958333333334,0.011192388494237093,0.996826171875,11.272049188613892,0.009765625,0.010895720417465782,0.0,0.984375,0.984375,11.324707508087158,0.0756975778688987,0.008056640625,0.9794921875,0.971435546875,11.09000039100647,0.09692930988967419,2.0113850270032323,0.008056640625,0.9794921875,0.971435546875,11.09000039100647,0.09692930988967419,32,0.00029666807677131146,1.0,0.003701458015711978,0.9973958333333334,0.011192388494237093,0.996826171875,11.272049188613892,0.009765625,0.010895720417465782,0.0,0.984375,0.984375,11.324707508087158,0.0756975778688987,0.008056640625,0.9794921875,0.971435546875,11.09000039100647,0.09692930988967419,2.0113850270032323,0.008056640625,0.9794921875,0.971435546875,11.09000039100647,0.09692930988967419
0,512,dest_train,4,64,True,True,True,24,0.03181729027208751,0.011136051595230628,0.00011142549192300066,1.0,0.0059735949616879225,0.9973958333333334,0.011340724347974174,0.997314453125,13.82039088010788,0.004638671875,0.011229298856051173,0.0,1.0,1.0,13.975348631540934,0.03593333267296354,0.00390625,0.990966796875,0.987060546875,13.695806235074997,0.047683912169304676,1.9134435129503142,0.00390625,0.990966796875,0.987060546875,13.695806235074997,0.047683912169304676,64,0.00011142549192300066,1.0,0.0059735949616879225,0.9973958333333334,0.011340724347974174,0.997314453125,13.82039088010788,0.004638671875,0.011229298856051173,0.0,1.0,1.0,13.975348631540934,0.03593333267296354,0.00390625,0.990966796875,0.987060546875,13.695806235074997,0.047683912169304676,1.9134435129503142,0.00390625,0.990966796875,0.987060546875,13.695806235074997,0.047683912169304676
0,512,dest_train,5,96,False,True,False,24,0.03181729027208751,0.011136051595230628,5.004803097108379e-05,1.0,0.0032796257825490707,0.9973958333333334,0.012918672291561961,0.996826171875,14.77196729183197,0.009765625,0.012868624260590877,0.0,1.0,1.0,15.000830491383871,0.023121972335502505,0.00634765625,0.990478515625,0.984130859375,14.585979953408241,0.037725124246208,1.8827306286473544,0.00634765625,0.990478515625,0.984130859375,14.585979953408241,0.037725124246208,64,0.00011142549192300066,1.0,0.0059735949616879225,0.9973958333333334,0.011340724347974174,0.997314453125,13.82039088010788,0.004638671875,0.011229298856051173,0.0,1.0,1.0,13.975348631540934,0.03593333267296354,0.00390625,0.990966796875,0.987060546875,13.695806235074997,0.047683912169304676,1.9134435129503142,0.00390625,0.990966796875,0.987060546875,13.695806235074997,0.047683912169304676
1,512,dest_train,0,4,True,True,True,24,0.03181729027208751,0.011136051595230628,0.006044810172170401,1.0,0.013539458314577738,0.9973958333333334,0.011031858040951192,0.996826171875,5.529325038194656,0.0166015625,0.004987047868780792,0.03125,0.7760416666666666,0.7447916666666666,5.4952108065287275,0.4700897882382075,0.01708984375,0.77294921875,0.755859375,5.538004420697689,0.4635021034628153,1.6558166436861599,0.01708984375,0.77294921875,0.755859375,5.538004420697689,0.4635021034628153,4,0.006044810172170401,1.0,0.013539458314577738,0.9973958333333334,0.011031858040951192,0.996826171875,5.529325038194656,0.0166015625,0.004987047868780792,0.03125,0.7760416666666666,0.7447916666666666,5.4952108065287275,0.4700897882382075,0.01708984375,0.77294921875,0.755859375,5.538004420697689,0.4635021034628153,1.6558166436861599,0.01708984375,0.77294921875,0.755859375,5.538004420697689,0.4635021034628153
1,512,dest_train,1,8,True,True,True,24,0.03181729027208751,0.011136051595230628,0.0017732143169268966,1.0,0.00983697921037674,0.9947916666666666,0.008242776028055232,0.99658203125,7.1175239980220795,0.015380859375,0.0064695617111283354,0.026041666666666668,0.5,0.4739583333333333,7.137333790461223,0.6803659001986185,0.016357421875,0.50634765625,0.489990234375,7.148128159344196,0.6904020542278886,1.934878031711923,0.016357421875,0.50634765625,0.489990234375,7.148128159344196,0.6904020542278886,8,0.0017732143169268966,1.0,0.00983697921037674,0.9947916666666666,0.008242776028055232,0.99658203125,7.1175239980220795,0.015380859375,0.0064695617111283354,0.026041666666666668,0.5,0.4739583333333333,7.137333790461223,0.6803659001986185,0.016357421875,0.50634765625,0.489990234375,7.148128159344196,0.6904020542278886,1.934878031711923,0.016357421875,0.50634765625,0.489990234375,7.148128159344196,0.6904020542278886
1,512,dest_train,2,16,True,True,True,24,0.03181729027208751,0.011136051595230628,0.000535031984327361,1.0,0.008025198243558407,0.9947916666666666,0.008077116563072195,0.9970703125,9.785472691059113,0.01416015625,0.007542084578744834,0.03125,0.90625,0.875,9.60919713973999,0.49411345024903613,0.01416015625,0.890869140625,0.876708984375,9.835924416780472,0.4877647804096341,2.093976593199792,0.01416015625,0.890869140625,0.876708984375,9.835924416780472,0.4877647804096341,16,0.000535031984327361,1.0,0.008025198243558407,0.9947916666666666,0.008077116563072195,0.9970703125,9.785472691059113,0.01416015625,0.007542084578744834,0.03125,0.90625,0.875,9.60919713973999,0.49411345024903613,0.01416015625,0.890869140625,0.876708984375,9.835924416780472,0.4877647804096341,2.093976593199792,0.01416015625,0.890869140625,0.876708984375,9.835924416780472,0.4877647804096341
1,512,dest_train,3,32,True,True,True,24,0.03181729027208751,0.011136051595230628,0.0002443739940645173,1.0,0.01870437649389108,0.9947916666666666,0.008260100667939696,0.9970703125,11.488837838172913,0.005859375,0.008015726673875179,0.005208333333333333,0.96875,0.9635416666666666,11.35478925704956,0.11419539153575897,0.007568359375,0.979248046875,0.9716796875,11.551032893359661,0.11234874252113514,2.0207186134740382,0.007568359375,0.979248046875,0.9716796875,11.551032893359661,0.11234874252113514,32,0.0002443739940645173,1.0,0.01870437649389108,0.9947916666666666,0.008260100667939696,0.9970703125,11.488837838172913,0.005859375,0.008015726673875179,0.005208333333333333,0.96875,0.9635416666666666,11.35478925704956,0.11419539153575897,0.007568359375,0.979248046875,0.9716796875,11.551032893359661,0.11234874252113514,2.0207186134740382,0.007568359375,0.979248046875,0.9716796875,11.551032893359661,0.11234874252113514
