seed,m,policy,stage,step_mass,step_budget,train_loss,train_acc,val_loss,val_acc,test_iid_loss,test_iid_acc,test_shift_loss,test_shift_acc,gen_gap,probe_train_pre_acc,probe_train_post_acc,probe_train_gain,probe_train_pre_loss,probe_train_post_loss,probe_eval_pre_acc,probe_eval_post_acc,probe_eval_gain,probe_eval_pre_loss,probe_eval_post_loss,probe_param_shift_l2,probe_pre_acc,probe_post_acc,probe_gain,probe_pre_loss,probe_post_loss
0,512,cap,0,0.0,2.5,0.669282853603363,0.6171875,0.6722865104675293,0.5807291666666666,0.671664297580719,0.60546875,0.7081452868878841,0.44384765625,0.002381443977355957,0.5125,0.86875,0.35625000000000007,0.6963484883308411,0.5777207970619201,0.44873046875,0.826171875,0.37744140625,0.7075848858803511,0.5951463091187179,0.34513802327858345,0.44873046875,0.826171875,0.37744140625,0.7075848858803511,0.5951463091187179
0,512,cap,1,0.16,2.5,0.49491626024246216,0.96875,0.5060496727625529,0.9817708333333334,0.5080734565854073,0.97216796875,0.8612369745969772,0.13623046875,0.013157196342945099,0.1125,0.61875,0.50625,0.8518953442573547,0.6460064768791198,0.142822265625,0.56103515625,0.418212890625,0.856463402044028,0.6532835131511092,0.4531694916553745,0.142822265625,0.56103515625,0.418212890625,0.856463402044028,0.6532835131511092
0,512,cap,2,0.32,2.5,0.2355431765317917,0.986328125,0.24489654103914896,0.984375,0.2517860531806946,0.985595703125,1.4359032735228539,0.07177734375,0.016242876648902893,0.0625,0.79375,0.73125,1.42871196269989,0.6485000967979431,0.072265625,0.800537109375,0.728271484375,1.415859048254788,0.6413868530653417,0.8801924724767511,0.072265625,0.800537109375,0.728271484375,1.415859048254788,0.6413868530653417
0,512,cap,3,0.48,2.5,0.08020366355776787,0.9921875,0.07685701549053192,1.0,0.08905928721651435,0.989501953125,2.5148319751024246,0.050537109375,0.008855623658746481,0.04375,0.96875,0.925,2.5725850582122805,0.5002137780189514,0.04931640625,0.95556640625,0.90625,2.472630836069584,0.5019621029496193,1.420348972905597,0.04931640625,0.95556640625,0.90625,2.472630836069584,0.5019621029496193
0,512,cap,4,0.64,2.5,0.032522933557629585,0.990234375,0.027037879452109337,1.0,0.0390917940530926,0.990234375,3.697105288505554,0.04345703125,0.006568860495463014,0.025,0.98125,0.9562499999999999,3.8684882164001464,0.3498916208744049,0.04345703125,0.975341796875,0.931884765625,3.639181174337864,0.3662038354668766,1.8107763184116459,0.04345703125,0.975341796875,0.931884765625,3.639181174337864,0.3662038354668766
0,512,cap,5,0.8,2.5,0.02057995181530714,0.9921875,0.015142012387514114,1.0,0.027340004104189575,0.99072265625,4.628276199102402,0.03759765625,0.006760052288882434,0.03125,0.98125,0.95,4.888570022583008,0.27182129919528963,0.03857421875,0.9765625,0.93798828125,4.559911860153079,0.2936493440065533,2.028393541611109,0.03857421875,0.9765625,0.93798828125,4.559911860153079,0.2936493440065533
0,512,cap,6,0.9600000000000001,2.5,0.015842732042074203,0.994140625,0.01091165312876304,1.0,0.023143774480558932,0.991455078125,5.290084928274155,0.032958984375,0.007301042438484728,0.03125,0.9875,0.95625,5.601733016967773,0.23381653428077698,0.033935546875,0.979248046875,0.9453125,5.214681230485439,0.25638079235795885,2.1378750923717447,0.033935546875,0.979248046875,0.9453125,5.214681230485439,0.25638079235795885
0,512,cap,7,1.12,2.5,0.013037386815994978,0.994140625,0.008730136323720217,1.0,0.020503356005065143,0.9921875,5.774067014455795,0.02783203125,0.007465969189070165,0.025,1.0,0.975,6.109784698486328,0.20809225738048553,0.02880859375,0.982177734375,0.953369140625,5.692459639161825,0.23070743319112808,2.20264618993544,0.02880859375,0.982177734375,0.953369140625,5.692459639161825,0.23070743319112808
0,512,cap,8,1.28,2.5,0.011151264887303114,1.0,0.007437979492048423,1.0,0.01872746751178056,0.992919921875,6.14447695016861,0.0234375,0.007576202624477446,0.01875,1.0,0.98125,6.4937433242797855,0.18406255841255187,0.025390625,0.984130859375,0.958740234375,6.058187980204821,0.20645552722271532,2.2578994047869916,0.025390625,0.984130859375,0.958740234375,6.058187980204821,0.20645552722271532
0,512,cap,9,1.44,2.5,0.009768403600901365,1.0,0.006564956779281299,1.0,0.017494675266789272,0.993408203125,6.440821051597595,0.020751953125,0.007726271665887907,0.01875,1.0,0.98125,6.793159484863281,0.17454667389392853,0.021240234375,0.983642578125,0.96240234375,6.349772449582815,0.19688259169925004,2.2836677594089227,0.021240234375,0.983642578125,0.96240234375,6.349772449582815,0.19688259169925004
0,512,cap,10,1.5999999999999999,2.5,0.008733531460165977,1.0,0.005959274480119348,1.0,0.016575872083194554,0.99365234375,6.6886816918849945,0.01806640625,0.007842340623028576,0.0,1.0,1.0,7.040480422973633,0.1596006989479065,0.018798828125,0.985595703125,0.966796875,6.593142904341221,0.18156440590973943,2.320583751506053,0.018798828125,0.985595703125,0.966796875,6.593142904341221,0.18156440590973943
