seed,m,policy,degree,iter,step_mass,train_loss,test_loss,gen_gap
0,500,no_cap,5,950,3.010000,0.271187,0.800108,0.528921
0,500,no_cap,5,960,3.026176,0.270644,0.800762,0.530117
0,500,no_cap,5,970,3.042267,0.270119,0.801254,0.531136
0,500,no_cap,5,980,3.058276,0.269575,0.801774,0.532199
0,500,no_cap,5,990,3.074203,0.269040,0.802040,0.533000
0,500,no_cap,5,1000,3.090050,0.268556,0.802911,0.534355
0,500,no_cap,5,1010,3.105819,0.268017,0.803652,0.535635
0,500,no_cap,5,1020,3.121509,0.267516,0.804254,0.536738
0,500,no_cap,5,1030,3.137122,0.266982,0.804800,0.537819
0,500,no_cap,5,1040,3.152661,0.266447,0.805406,0.538959
0,500,no_cap,5,1050,3.168124,0.265982,0.805644,0.539661
0,500,no_cap,5,1060,3.183514,0.265515,0.806501,0.540986
0,500,no_cap,5,1070,3.198832,0.265003,0.807218,0.542215
0,500,no_cap,5,1080,3.214078,0.264499,0.807948,0.543450
0,500,no_cap,5,1090,3.229254,0.264026,0.808722,0.544696
0,500,no_cap,5,1100,3.244361,0.263573,0.809184,0.545611
0,500,no_cap,5,1110,3.259399,0.263126,0.809669,0.546542
0,500,no_cap,5,1120,3.274369,0.262681,0.810245,0.547564
0,500,no_cap,5,1130,3.289273,0.262252,0.810750,0.548498
0,500,no_cap,5,1140,3.304111,0.261819,0.811441,0.549622
0,500,no_cap,5,1150,3.318884,0.261360,0.812063,0.550702
0,500,no_cap,5,1160,3.333594,0.260921,0.812950,0.552030
0,500,no_cap,5,1170,3.348239,0.260441,0.813280,0.552839
0,500,no_cap,5,1180,3.362823,0.259985,0.813794,0.553809
0,500,no_cap,5,1190,3.377345,0.259591,0.814217,0.554626
0,500,no_cap,5,1200,3.391806,0.259189,0.814653,0.555464
0,500,no_cap,5,1210,3.406206,0.258830,0.815104,0.556274
0,500,no_cap,5,1220,3.420548,0.258407,0.815540,0.557134
0,500,no_cap,5,1230,3.434831,0.257980,0.816010,0.558030
0,500,no_cap,5,1240,3.449056,0.257546,0.816317,0.558772
0,500,no_cap,5,1250,3.463223,0.257140,0.817270,0.560130
0,500,no_cap,5,1260,3.477334,0.256762,0.817915,0.561153
0,500,no_cap,5,1270,3.491390,0.256350,0.818273,0.561923
0,500,no_cap,5,1280,3.505390,0.255956,0.818835,0.562879
0,500,no_cap,5,1290,3.519335,0.255564,0.819225,0.563662
0,500,no_cap,5,1300,3.533227,0.255180,0.819633,0.564453
