seed,m,policy,degree,iter,step_mass,train_loss,test_loss,gen_gap
0,500,no_cap,7,950,7.224001,0.613503,0.628320,0.014817
0,500,no_cap,7,960,7.262822,0.613429,0.628168,0.014739
0,500,no_cap,7,970,7.301441,0.613345,0.627980,0.014635
0,500,no_cap,7,980,7.339862,0.613185,0.627693,0.014508
0,500,no_cap,7,990,7.378088,0.613144,0.627471,0.014327
0,500,no_cap,7,1000,7.416121,0.613139,0.627406,0.014268
0,500,no_cap,7,1010,7.453965,0.613190,0.627291,0.014101
0,500,no_cap,7,1020,7.491621,0.613169,0.627131,0.013963
0,500,no_cap,7,1030,7.529094,0.613219,0.627136,0.013917
0,500,no_cap,7,1040,7.566385,0.613133,0.627110,0.013977
0,500,no_cap,7,1050,7.603498,0.613093,0.627168,0.014075
0,500,no_cap,7,1060,7.640434,0.613112,0.627078,0.013967
0,500,no_cap,7,1070,7.677197,0.612934,0.627096,0.014162
0,500,no_cap,7,1080,7.713788,0.612815,0.627144,0.014329
0,500,no_cap,7,1090,7.750210,0.612673,0.627190,0.014517
0,500,no_cap,7,1100,7.786466,0.612612,0.627247,0.014635
0,500,no_cap,7,1110,7.822557,0.612470,0.627293,0.014823
0,500,no_cap,7,1120,7.858486,0.612423,0.627297,0.014874
0,500,no_cap,7,1130,7.894256,0.612374,0.627258,0.014884
0,500,no_cap,7,1140,7.929867,0.612359,0.627404,0.015045
0,500,no_cap,7,1150,7.965323,0.612335,0.627376,0.015041
0,500,no_cap,7,1160,8.000624,0.612328,0.627224,0.014896
0,500,no_cap,7,1170,8.035775,0.612379,0.627109,0.014730
0,500,no_cap,7,1180,8.070775,0.612444,0.627026,0.014582
0,500,no_cap,7,1190,8.105627,0.612353,0.627092,0.014739
0,500,no_cap,7,1200,8.140333,0.612324,0.627081,0.014756
0,500,no_cap,7,1210,8.174895,0.612306,0.627100,0.014794
0,500,no_cap,7,1220,8.209315,0.612246,0.627142,0.014895
0,500,no_cap,7,1230,8.243594,0.612196,0.627118,0.014922
0,500,no_cap,7,1240,8.277733,0.612174,0.627097,0.014924
0,500,no_cap,7,1250,8.311736,0.612045,0.627097,0.015052
0,500,no_cap,7,1260,8.345603,0.611931,0.627236,0.015305
0,500,no_cap,7,1270,8.379335,0.611926,0.627166,0.015240
0,500,no_cap,7,1280,8.412935,0.611791,0.627265,0.015473
0,500,no_cap,7,1290,8.446405,0.611753,0.627296,0.015543
0,500,no_cap,7,1300,8.479745,0.611737,0.627193,0.015456
0,500,no_cap,7,1310,8.512956,0.611692,0.627232,0.015539
0,500,no_cap,7,1320,8.546042,0.611676,0.627259,0.015583
0,500,no_cap,7,1330,8.579002,0.611619,0.627380,0.015760
0,500,no_cap,7,1340,8.611839,0.611609,0.627535,0.015926
0,500,no_cap,7,1350,8.644553,0.611543,0.627407,0.015864
0,500,no_cap,7,1360,8.677147,0.611559,0.627460,0.015901
0,500,no_cap,7,1370,8.709621,0.611539,0.627407,0.015869
0,500,no_cap,7,1380,8.741977,0.611528,0.627366,0.015838
0,500,no_cap,7,1390,8.774216,0.611467,0.627320,0.015853
0,500,no_cap,7,1400,8.806339,0.611447,0.627421,0.015974
0,500,no_cap,7,1410,8.838347,0.611435,0.627209,0.015774
0,500,no_cap,7,1420,8.870243,0.611404,0.627163,0.015758
0,500,no_cap,7,1430,8.902026,0.611362,0.627199,0.015836
0,500,no_cap,7,1440,8.933698,0.611319,0.627291,0.015972
0,500,no_cap,7,1450,8.965261,0.611324,0.627270,0.015945
0,500,no_cap,7,1460,8.996715,0.611305,0.627302,0.015997
0,500,no_cap,7,1470,9.028061,0.611288,0.627278,0.015990
0,500,no_cap,7,1480,9.059301,0.611238,0.627278,0.016039
0,500,no_cap,7,1490,9.090436,0.611196,0.627170,0.015974
0,500,no_cap,7,1500,9.121467,0.611177,0.627184,0.016007
0,500,no_cap,7,1510,9.152394,0.611141,0.627164,0.016024
0,500,no_cap,7,1520,9.183219,0.611114,0.627204,0.016090
0,500,no_cap,7,1530,9.213943,0.611095,0.627208,0.016113
0,500,no_cap,7,1540,9.244566,0.611114,0.627085,0.015971
0,500,no_cap,7,1550,9.275091,0.611116,0.626923,0.015807
0,500,no_cap,7,1560,9.305517,0.611026,0.627085,0.016060
0,500,no_cap,7,1570,9.335846,0.610997,0.626986,0.015989
0,500,no_cap,7,1580,9.366078,0.611009,0.626951,0.015942
0,500,no_cap,7,1590,9.396215,0.611041,0.626863,0.015823
0,500,no_cap,7,1600,9.426257,0.611029,0.626806,0.015778
0,500,no_cap,7,1610,9.456206,0.610959,0.626893,0.015934
0,500,no_cap,7,1620,9.486062,0.610973,0.626848,0.015874
0,500,no_cap,7,1630,9.515826,0.610950,0.626831,0.015882
0,500,no_cap,7,1640,9.545498,0.611016,0.626770,0.015754
0,500,no_cap,7,1650,9.575081,0.610986,0.626767,0.015781
0,500,no_cap,7,1660,9.604573,0.610945,0.626783,0.015838
0,500,no_cap,7,1670,9.633978,0.610918,0.626811,0.015892
0,500,no_cap,7,1680,9.663294,0.610875,0.626829,0.015954
0,500,no_cap,7,1690,9.692523,0.610845,0.626822,0.015977
0,500,no_cap,7,1700,9.721666,0.610825,0.626803,0.015978
0,500,no_cap,7,1710,9.750723,0.610799,0.626841,0.016042
0,500,no_cap,7,1720,9.779696,0.610782,0.626888,0.016106
0,500,no_cap,7,1730,9.808584,0.610794,0.626846,0.016052
0,500,no_cap,7,1740,9.837390,0.610932,0.626781,0.015849
0,500,no_cap,7,1750,9.866112,0.610846,0.626808,0.015962
0,500,no_cap,7,1760,9.894753,0.610808,0.626821,0.016012
0,500,no_cap,7,1770,9.923312,0.610792,0.626805,0.016014
0,500,no_cap,7,1780,9.951791,0.610713,0.626838,0.016125
0,500,no_cap,7,1790,9.980190,0.610740,0.626786,0.016046
0,500,no_cap,7,1800,10.008509,0.610727,0.626765,0.016039
0,500,no_cap,7,1810,10.036750,0.610637,0.626897,0.016260
0,500,no_cap,7,1820,10.064914,0.610618,0.626949,0.016331
0,500,no_cap,7,1830,10.093000,0.610588,0.626913,0.016325
0,500,no_cap,7,1840,10.121009,0.610627,0.626815,0.016188
0,500,no_cap,7,1850,10.148943,0.610603,0.626811,0.016208
0,500,no_cap,7,1860,10.176801,0.610668,0.626748,0.016080
0,500,no_cap,7,1870,10.204584,0.610644,0.626775,0.016131
0,500,no_cap,7,1880,10.232293,0.610628,0.626793,0.016165
0,500,no_cap,7,1890,10.259929,0.610600,0.626830,0.016230
0,500,no_cap,7,1900,10.287491,0.610549,0.626859,0.016310
0,500,no_cap,7,1910,10.314982,0.610501,0.626897,0.016396
0,500,no_cap,7,1920,10.342400,0.610465,0.626965,0.016500
0,500,no_cap,7,1930,10.369747,0.610423,0.627027,0.016604
0,500,no_cap,7,1940,10.397023,0.610395,0.627143,0.016749
0,500,no_cap,7,1950,10.424229,0.610372,0.627177,0.016805
0,500,no_cap,7,1960,10.451366,0.610376,0.627310,0.016934
0,500,no_cap,7,1970,10.478433,0.610421,0.627526,0.017105
0,500,no_cap,7,1980,10.505432,0.610437,0.627550,0.017113
0,500,no_cap,7,1990,10.532362,0.610398,0.627434,0.017037
0,500,no_cap,7,2000,10.559225,0.610374,0.627357,0.016983
0,500,no_cap,7,2010,10.586021,0.610389,0.627440,0.017052
0,500,no_cap,7,2020,10.612751,0.610329,0.627432,0.017103
0,500,no_cap,7,2030,10.639414,0.610288,0.627374,0.017086
0,500,no_cap,7,2040,10.666012,0.610263,0.627474,0.017211
0,500,no_cap,7,2050,10.692545,0.610235,0.627375,0.017140
0,500,no_cap,7,2060,10.719013,0.610225,0.627409,0.017184
0,500,no_cap,7,2070,10.745417,0.610202,0.627404,0.017202
0,500,no_cap,7,2080,10.771757,0.610193,0.627273,0.017079
0,500,no_cap,7,2090,10.798034,0.610190,0.627252,0.017063
0,500,no_cap,7,2100,10.824248,0.610150,0.627339,0.017188
0,500,no_cap,7,2110,10.850400,0.610144,0.627295,0.017151
0,500,no_cap,7,2120,10.876490,0.610139,0.627183,0.017044
0,500,no_cap,7,2130,10.902519,0.610109,0.627254,0.017144
0,500,no_cap,7,2140,10.928487,0.610080,0.627272,0.017192
0,500,no_cap,7,2150,10.954394,0.610051,0.627211,0.017160
0,500,no_cap,7,2160,10.980240,0.610036,0.627249,0.017213
0,500,no_cap,7,2170,11.006028,0.610034,0.627423,0.017389
0,500,no_cap,7,2180,11.031755,0.610028,0.627472,0.017444
0,500,no_cap,7,2190,11.057424,0.610014,0.627431,0.017417
