m,seed,policy,degree,accepted,cap_ok,val_ok,train_loss,val_loss,test_loss,epsV,tau,K
150,2,twogate,11,0,1,0,0.293333,0.433333,0.439000,0.075273,0.015055,31
150,2,twogate,12,0,1,0,0.293333,0.450000,0.438000,0.075273,0.015055,31
150,2,twogate,13,0,1,0,0.293333,0.433333,0.440000,0.075273,0.015055,31
150,2,twogate,14,0,1,0,0.293333,0.450000,0.436000,0.075273,0.015055,31
150,2,twogate,15,0,1,0,0.293333,0.433333,0.437000,0.075273,0.015055,31
150,2,twogate,16,0,1,0,0.293333,0.433333,0.436000,0.075273,0.015055,31
150,2,twogate,17,0,1,0,0.293333,0.433333,0.435000,0.075273,0.015055,31
150,2,twogate,18,0,1,0,0.293333,0.433333,0.429000,0.075273,0.015055,31
150,2,twogate,19,0,1,0,0.293333,0.433333,0.430000,0.075273,0.015055,31
150,2,twogate,20,0,1,0,0.293333,0.433333,0.427000,0.075273,0.015055,31
150,2,twogate,21,0,1,0,0.293333,0.433333,0.429000,0.075273,0.015055,31
150,2,twogate,22,0,1,0,0.300000,0.433333,0.427000,0.075273,0.015055,31
150,2,twogate,23,0,1,0,0.300000,0.433333,0.431000,0.075273,0.015055,31
150,2,twogate,24,0,1,0,0.300000,0.433333,0.429000,0.075273,0.015055,31
150,2,twogate,25,0,1,0,0.300000,0.433333,0.430000,0.075273,0.015055,31
150,2,twogate,26,0,1,0,0.300000,0.433333,0.427000,0.075273,0.015055,31
150,2,twogate,27,0,1,0,0.300000,0.433333,0.429000,0.075273,0.015055,31
150,2,twogate,28,0,1,0,0.300000,0.433333,0.428000,0.075273,0.015055,31
150,2,twogate,29,0,1,0,0.300000,0.433333,0.430000,0.075273,0.015055,31
150,2,twogate,30,0,1,0,0.300000,0.433333,0.428000,0.075273,0.015055,31
150,3,twogate,0,1,1,1,0.493333,0.600000,0.530000,0.075273,0.015055,31
150,3,twogate,1,1,1,1,0.366667,0.366667,0.396000,0.075273,0.015055,31
150,3,twogate,2,0,1,0,0.346667,0.400000,0.410000,0.075273,0.015055,31
150,3,twogate,3,0,1,0,0.320000,0.433333,0.430000,0.075273,0.015055,31
150,3,twogate,4,0,1,0,0.320000,0.416667,0.431000,0.075273,0.015055,31
150,3,twogate,5,0,1,0,0.353333,0.400000,0.429000,0.075273,0.015055,31
150,3,twogate,6,0,1,0,0.340000,0.400000,0.430000,0.075273,0.015055,31
150,3,twogate,7,0,1,0,0.353333,0.383333,0.431000,0.075273,0.015055,31
150,3,twogate,8,0,1,0,0.353333,0.383333,0.434000,0.075273,0.015055,31
150,3,twogate,9,0,1,0,0.346667,0.383333,0.430000,0.075273,0.015055,31
150,3,twogate,10,0,1,0,0.340000,0.383333,0.433000,0.075273,0.015055,31
150,3,twogate,11,0,1,0,0.340000,0.383333,0.432000,0.075273,0.015055,31
150,3,twogate,12,0,1,0,0.333333,0.383333,0.432000,0.075273,0.015055,31
150,3,twogate,13,0,1,0,0.333333,0.383333,0.433000,0.075273,0.015055,31
150,3,twogate,14,0,1,0,0.333333,0.383333,0.433000,0.075273,0.015055,31
150,3,twogate,15,0,1,0,0.333333,0.383333,0.431000,0.075273,0.015055,31
150,3,twogate,16,0,1,0,0.346667,0.383333,0.432000,0.075273,0.015055,31
150,3,twogate,17,0,1,0,0.353333,0.383333,0.435000,0.075273,0.015055,31
150,3,twogate,18,0,1,0,0.353333,0.383333,0.437000,0.075273,0.015055,31
150,3,twogate,19,0,1,0,0.346667,0.383333,0.434000,0.075273,0.015055,31
150,3,twogate,20,0,1,0,0.346667,0.383333,0.432000,0.075273,0.015055,31
150,3,twogate,21,0,1,0,0.340000,0.383333,0.430000,0.075273,0.015055,31
150,3,twogate,22,0,1,0,0.340000,0.383333,0.431000,0.075273,0.015055,31
150,3,twogate,23,0,1,0,0.340000,0.383333,0.431000,0.075273,0.015055,31
150,3,twogate,24,0,1,0,0.340000,0.383333,0.431000,0.075273,0.015055,31
150,3,twogate,25,0,1,0,0.340000,0.383333,0.431000,0.075273,0.015055,31
150,3,twogate,26,0,1,0,0.340000,0.383333,0.431000,0.075273,0.015055,31
150,3,twogate,27,0,1,0,0.333333,0.383333,0.431000,0.075273,0.015055,31
150,3,twogate,28,0,1,0,0.340000,0.383333,0.432000,0.075273,0.015055,31
150,3,twogate,29,0,1,0,0.340000,0.383333,0.432000,0.075273,0.015055,31
150,3,twogate,30,0,1,0,0.340000,0.383333,0.433000,0.075273,0.015055,31
150,4,twogate,0,1,1,1,0.486667,0.516667,0.521000,0.075273,0.015055,31
150,4,twogate,1,1,1,1,0.446667,0.350000,0.421000,0.075273,0.015055,31
150,4,twogate,2,1,1,1,0.420000,0.283333,0.427000,0.075273,0.015055,31
150,4,twogate,3,0,1,0,0.393333,0.516667,0.494000,0.075273,0.015055,31
150,4,twogate,4,0,1,0,0.326667,0.416667,0.512000,0.075273,0.015055,31
150,4,twogate,5,0,1,0,0.320000,0.416667,0.515000,0.075273,0.015055,31
150,4,twogate,6,0,1,0,0.306667,0.416667,0.516000,0.075273,0.015055,31
