seed,m,policy,degree,iter,step_mass,train_loss,test_loss,gen_gap
7,500,cap,7,40,0.563382,0.651428,0.660924,0.009496
7,500,cap,7,50,0.637619,0.648045,0.658479,0.010434
7,500,cap,7,60,0.704802,0.645943,0.657052,0.011110
7,500,cap,7,70,0.766627,0.644612,0.656299,0.011688
7,500,cap,7,80,0.824202,0.642557,0.654752,0.012195
7,500,cap,7,90,0.878298,0.641669,0.653933,0.012264
7,500,cap,7,100,0.929480,0.640702,0.653199,0.012497
7,500,cap,7,110,0.978173,0.639219,0.652045,0.012826
8,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
8,500,cap,7,10,0.251050,0.676550,0.679856,0.003306
8,500,cap,7,20,0.379763,0.670583,0.675047,0.004464
8,500,cap,7,30,0.479257,0.666771,0.672075,0.005304
8,500,cap,7,40,0.563382,0.665768,0.670532,0.004764
8,500,cap,7,50,0.637619,0.664340,0.667807,0.003466
8,500,cap,7,60,0.704802,0.663944,0.667084,0.003140
8,500,cap,7,70,0.766627,0.662090,0.666350,0.004260
8,500,cap,7,80,0.824202,0.661755,0.665134,0.003379
8,500,cap,7,90,0.878298,0.660879,0.663680,0.002800
8,500,cap,7,100,0.929480,0.659614,0.662891,0.003278
8,500,cap,7,110,0.978173,0.659068,0.661611,0.002543
9,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
9,500,cap,7,10,0.251050,0.678195,0.679685,0.001490
9,500,cap,7,20,0.379763,0.671914,0.674087,0.002173
9,500,cap,7,30,0.479257,0.667920,0.670681,0.002761
9,500,cap,7,40,0.563382,0.665923,0.669138,0.003215
9,500,cap,7,50,0.637619,0.664580,0.668129,0.003549
9,500,cap,7,60,0.704802,0.661822,0.664850,0.003028
9,500,cap,7,70,0.766627,0.660048,0.663143,0.003095
9,500,cap,7,80,0.824202,0.658676,0.661499,0.002822
9,500,cap,7,90,0.878298,0.657566,0.660060,0.002493
9,500,cap,7,100,0.929480,0.657389,0.659796,0.002407
9,500,cap,7,110,0.978173,0.656021,0.658293,0.002272
10,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
10,500,cap,7,10,0.251050,0.676797,0.678678,0.001881
10,500,cap,7,20,0.379763,0.668922,0.670803,0.001881
10,500,cap,7,30,0.479257,0.663140,0.665863,0.002723
10,500,cap,7,40,0.563382,0.659866,0.662963,0.003096
10,500,cap,7,50,0.637619,0.656712,0.660120,0.003407
10,500,cap,7,60,0.704802,0.653456,0.657384,0.003928
10,500,cap,7,70,0.766627,0.652152,0.656061,0.003909
10,500,cap,7,80,0.824202,0.650415,0.654309,0.003894
10,500,cap,7,90,0.878298,0.648918,0.652868,0.003950
10,500,cap,7,100,0.929480,0.647551,0.651687,0.004136
10,500,cap,7,110,0.978173,0.646701,0.650952,0.004252
11,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
11,500,cap,7,10,0.251050,0.684786,0.681697,-0.003089
11,500,cap,7,20,0.379763,0.684565,0.681313,-0.003252
11,500,cap,7,30,0.479257,0.682312,0.678117,-0.004195
11,500,cap,7,40,0.563382,0.681180,0.676345,-0.004835
11,500,cap,7,50,0.637619,0.679345,0.673397,-0.005948
11,500,cap,7,60,0.704802,0.678170,0.671471,-0.006699
11,500,cap,7,70,0.766627,0.676860,0.669454,-0.007406
11,500,cap,7,80,0.824202,0.675780,0.667840,-0.007940
11,500,cap,7,90,0.878298,0.674908,0.666484,-0.008424
11,500,cap,7,100,0.929480,0.674001,0.664940,-0.009061
11,500,cap,7,110,0.978173,0.673146,0.663534,-0.009613
12,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
12,500,cap,7,10,0.251050,0.678253,0.678371,0.000118
12,500,cap,7,20,0.379763,0.674014,0.674385,0.000371
12,500,cap,7,30,0.479257,0.668829,0.669404,0.000575
12,500,cap,7,40,0.563382,0.666168,0.666816,0.000648
12,500,cap,7,50,0.637619,0.662779,0.663638,0.000859
12,500,cap,7,60,0.704802,0.660711,0.661688,0.000978
12,500,cap,7,70,0.766627,0.658203,0.659305,0.001102
12,500,cap,7,80,0.824202,0.655686,0.656876,0.001190
12,500,cap,7,90,0.878298,0.654407,0.655686,0.001279
12,500,cap,7,100,0.929480,0.654323,0.655632,0.001309
12,500,cap,7,110,0.978173,0.652912,0.654309,0.001397
13,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
13,500,cap,7,10,0.251050,0.672606,0.676537,0.003931
13,500,cap,7,20,0.379763,0.668971,0.672662,0.003692
13,500,cap,7,30,0.479257,0.666471,0.671634,0.005163
13,500,cap,7,40,0.563382,0.664271,0.668156,0.003885
13,500,cap,7,50,0.637619,0.663142,0.668199,0.005057
13,500,cap,7,60,0.704802,0.661814,0.667252,0.005437
13,500,cap,7,70,0.766627,0.660003,0.664736,0.004733
13,500,cap,7,80,0.824202,0.658579,0.662836,0.004257
13,500,cap,7,90,0.878298,0.657426,0.660955,0.003529
13,500,cap,7,100,0.929480,0.657057,0.660677,0.003620
13,500,cap,7,110,0.978173,0.656271,0.659662,0.003391
14,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
14,500,cap,7,10,0.251050,0.675260,0.677978,0.002717
14,500,cap,7,20,0.379763,0.669364,0.672994,0.003630
14,500,cap,7,30,0.479257,0.665888,0.670091,0.004204
14,500,cap,7,40,0.563382,0.662179,0.666718,0.004539
14,500,cap,7,50,0.637619,0.657926,0.663144,0.005218
14,500,cap,7,60,0.704802,0.656871,0.662436,0.005565
14,500,cap,7,70,0.766627,0.653828,0.659813,0.005985
14,500,cap,7,80,0.824202,0.652564,0.658750,0.006186
14,500,cap,7,90,0.878298,0.650233,0.656769,0.006536
14,500,cap,7,100,0.929480,0.648498,0.655293,0.006795
14,500,cap,7,110,0.978173,0.647203,0.654223,0.007020
15,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
15,500,cap,7,10,0.251050,0.683260,0.685166,0.001905
15,500,cap,7,20,0.379763,0.675297,0.679191,0.003893
15,500,cap,7,30,0.479257,0.669938,0.673981,0.004043
15,500,cap,7,40,0.563382,0.666999,0.671459,0.004460
15,500,cap,7,50,0.637619,0.662952,0.667986,0.005034
15,500,cap,7,60,0.704802,0.659969,0.665493,0.005523
15,500,cap,7,70,0.766627,0.658661,0.664422,0.005761
15,500,cap,7,80,0.824202,0.655760,0.661821,0.006061
15,500,cap,7,90,0.878298,0.653568,0.661239,0.007671
15,500,cap,7,100,0.929480,0.651457,0.659550,0.008093
15,500,cap,7,110,0.978173,0.649938,0.658148,0.008211
16,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
16,500,cap,7,10,0.251050,0.679687,0.679867,0.000180
16,500,cap,7,20,0.379763,0.673154,0.673549,0.000395
16,500,cap,7,30,0.479257,0.670437,0.670959,0.000523
16,500,cap,7,40,0.563382,0.667433,0.668068,0.000635
